Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Manhattan,Yorkville,56ed855a498ef3bb022352c3,Mughlai Indian Cuisine,28,8.0,10
Manhattan,Yorkville,5b0c8e2d2f97ec002c67a428,Ashoka Fine Dine,10,7.9,5
Manhattan,Roosevelt Island,4fe4fb50c2eee335e4fea69d,Moti Mahal Delux,186,8.2,83
Manhattan,Upper West Side,591890f43abcaf1ddca66e85,Ashoka,22,8.6,9
Manhattan,Upper West Side,42489a80f964a5208b201fe3,Swagat,108,8.5,40
Manhattan,Chelsea,4b4aab62f964a520978c26e3,Dil-e Punjab Deli,110,8.7,44
Manhattan,Greenwich Village,5b5a2c9e66f3cd002ca0aab5,Bombay Bistros,31,9.0,6
Manhattan,Tribeca,4bbb9dbded7776b0e1ad3e51,Tamarind TriBeCa,600,9.0,150
Manhattan,West Village,5b5a2c9e66f3cd002ca0aab5,Bombay Bistros,31,9.0,6
Manhattan,West Village,591794df2be42556988e4a8e,Rahi,120,8.9,26
Manhattan,Manhattan Valley,538ba1f2498e279098e4210a,Awadh,51,8.2,13
Manhattan,Manhattan Valley,49c5ad0af964a5201b571fe3,Roti Roll,116,7.9,58
Manhattan,Morningside Heights,49c5ad0af964a5201b571fe3,Roti Roll,116,7.9,58
Manhattan,Morningside Heights,529d382a11d2dd5ef107e641,Chapati House - NYC,73,8.0,18
Manhattan,Gramercy,4a70a75bf964a52016d81fe3,Bhatti Indian Grill,424,8.8,163
Manhattan,Gramercy,0,0,0,0.0,0
Manhattan,Gramercy,0,0,0,0.0,0
Manhattan,Gramercy,0,0,0,0.0,0
Manhattan,Gramercy,0,0,0,0.0,0
Queens,Astoria,0,0,0,0.0,0
Queens,Astoria,0,0,0,0.0,0
Queens,Woodside,0,0,0,0.0,0
Queens,Woodside,0,0,0,0.0,0
Queens,Woodside,0,0,0,0.0,0
Queens,Woodside,0,0,0,0.0,0
Queens,Woodside,0,0,0,0.0,0
Queens,Woodside,0,0,0,0.0,0
Queens,Woodside,0,0,0,0.0,0
Queens,Woodside,0,0,0,0.0,0
Queens,Jackson Heights,0,0,0,0.0,0
Queens,Jackson Heights,0,0,0,0.0,0
Queens,Jackson Heights,0,0,0,0.0,0
Queens,Jackson Heights,0,0,0,0.0,0
Queens,Jackson Heights,0,0,0,0.0,0
Queens,Jackson Heights,0,0,0,0.0,0
Queens,Elmhurst,0,0,0,0.0,0
Queens,Elmhurst,0,0,0,0.0,0
Queens,Elmhurst,0,0,0,0.0,0
Queens,Kew Gardens,0,0,0,0.0,0
Queens,Kew Gardens,0,0,0,0.0,0
Queens,Richmond Hill,0,0,0,0.0,0
Queens,Richmond Hill,0,0,0,0.0,0
Queens,Richmond Hill,0,0,0,0.0,0
Queens,Richmond Hill,0,0,0,0.0,0
Queens,Richmond Hill,0,0,0,0.0,0
Queens,Richmond Hill,0,0,0,0.0,0
Queens,Richmond Hill,0,0,0,0.0,0
Queens,Richmond Hill,0,0,0,0.0,0
Queens,Long Island City,0,0,0,0.0,0
Queens,Long Island City,0,0,0,0.0,0
Queens,Sunnyside,0,0,0,0.0,0
Queens,Ridgewood,0,0,0,0.0,0
Queens,Rego Park,0,0,0,0.0,0
Queens,South Ozone Park,0,0,0,0.0,0
Queens,Bayside,0,0,0,0.0,0
Queens,Bayside,0,0,0,0.0,0
Queens,Bayside,0,0,0,0.0,0
Queens,Glen Oaks,0,0,0,0.0,0
Queens,Glen Oaks,0,0,0,0.0,0
Queens,Glen Oaks,0,0,0,0.0,0
Queens,Glen Oaks,0,0,0,0.0,0
Queens,Kew Gardens Hills,0,0,0,0.0,0
Queens,Briarwood,0,0,0,0.0,0
Queens,Briarwood,0,0,0,0.0,0
Queens,Briarwood,0,0,0,0.0,0
Queens,Jamaica Center,0,0,0,0.0,0
Queens,Jamaica Center,0,0,0,0.0,0
Queens,Jamaica Center,0,0,0,0.0,0
Queens,Jamaica Center,0,0,0,0.0,0
Queens,Steinway,0,0,0,0.0,0
Queens,Floral Park,0,0,0,0.0,0
Queens,Floral Park,0,0,0,0.0,0
Queens,Floral Park,0,0,0,0.0,0
Queens,Floral Park,0,0,0,0.0,0
Queens,Floral Park,0,0,0,0.0,0
Queens,Floral Park,0,0,0,0.0,0
Queens,Floral Park,0,0,0,0.0,0
Queens,Floral Park,0,0,0,0.0,0
Queens,Holliswood,0,0,0,0.0,0
Queens,Jamaica Estates,0,0,0,0.0,0
Queens,Jamaica Estates,0,0,0,0.0,0
Queens,Queensboro Hill,0,0,0,0.0,0
Queens,Ravenswood,0,0,0,0.0,0
Queens,Bellaire,0,0,0,0.0,0
Staten Island,New Brighton,0,0,0,0.0,0
Staten Island,New Dorp,0,0,0,0.0,0
Staten Island,Tompkinsville,0,0,0,0.0,0
Brooklyn,Ditmas Park,0,0,0,0.0,0
Brooklyn,Ditmas Park,0,0,0,0.0,0
Staten Island,Park Hill,0,0,0,0.0,0
Staten Island,Grant City,0,0,0,0.0,0
Manhattan,Carnegie Hill,0,0,0,0.0,0
Manhattan,Carnegie Hill,0,0,0,0.0,0
Manhattan,Carnegie Hill,0,0,0,0.0,0
Manhattan,Civic Center,0,0,0,0.0,0
Queens,Jamaica Hills,0,0,0,0.0,0
Queens,Jamaica Hills,0,0,0,0.0,0
Queens,Jamaica Hills,0,0,0,0.0,0
Queens,Jamaica Hills,0,0,0,0.0,0
Bronx,Concourse Village,0,0,0,0.0,0
Manhattan,Sutton Place,0,0,0,0.0,0
Manhattan,Sutton Place,0,0,0,0.0,0
Manhattan,Sutton Place,0,0,0,0.0,0
Manhattan,Turtle Bay,0,0,0,0.0,0
Manhattan,Turtle Bay,0,0,0,0.0,0
Queens,Sunnyside Gardens,0,0,0,0.0,0
Queens,Blissville,0,0,0,0.0,0
Brooklyn,Broadway Junction,0,0,0,0.0,0
Brooklyn,Erasmus,0,0,0,0.0,0
Queens,Queensbridge,0,0,0,0.0,0
Queens,Queensbridge,0,0,0,0.0,0
Staten Island,Fox Hills,0,0,0,0.0,0
